indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 6,86867.582559,87553.952969,0.9921606006,near a branch,more,people,more people in Ward 6 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 6 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 7,69514.061073,75847.584475,0.9164967026,near a branch,more,people,more people in Ward 7 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 7 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 8,76759.990698,83099.865116,0.9237077652,near a branch,more,people,more people in Ward 8 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 8 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 1,291.94973125,72369.188344,4.0341716955,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 1 would die before age 75 each year.,The premature mortality rate is lower in Ward 1 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 2,166.46162071,74279.390694,2.2410202771,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 2 would die before age 75 each year.,The premature mortality rate is lower in Ward 2 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 3,101.74094851,73691.413696,1.3806350483,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 3 would die before age 75 each year.,The premature mortality rate is lower in Ward 3 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 4,280.00818509,69833.731178,4.0096409051,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 4 would die before age 75 each year.,The premature mortality rate is lower in Ward 4 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 5,413.39813023,68134.857291,6.0673515241,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 5 would die before age 75 each year.,The premature mortality rate is lower in Ward 5 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 6,314.67896678,72689.353401,4.3290929421,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 6 would die before age 75 each year.,The premature mortality rate is lower in Ward 6 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 7,501.79761002,67495.192376,7.4345681871,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 7 would die before age 75 each year.,The premature mortality rate is lower in Ward 7 than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,Ward 8,645.63047795,71389.87302,9.0437263809,"deaths per 1,000 people",fewer deaths,n/a,fewer people in Ward 8 would die before age 75 each year.,The premature mortality rate is lower in Ward 8 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 1,27105.025859,35612.215279,0.7611159723,xxx,xxx,xxx,xxxx xxx xxxx Ward 1 xxx xxx xxxxx.,Xxxxxxx Ward 1 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 2,31105.518058,37743.314036,0.8241331969,xxx,xxx,xxx,xxxx xxx xxxx Ward 2 xxx xxx xxxxx.,Xxxxxxx Ward 2 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 3,32549.597261,37908.782737,0.8586294497,xxx,xxx,xxx,xxxx xxx xxxx Ward 3 xxx xxx xxxxx.,Xxxxxxx Ward 3 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 4,22354.436751,30795.15758,0.7259075292,xxx,xxx,xxx,xxxx xxx xxxx Ward 4 xxx xxx xxxxx.,Xxxxxxx Ward 4 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 5,21450.374221,33406.962164,0.6420929301,xxx,xxx,xxx,xxxx xxx xxxx Ward 5 xxx xxx xxxxx.,Xxxxxxx Ward 5 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 6,32641.342128,42434.862482,0.769210508,xxx,xxx,xxx,xxxx xxx xxxx Ward 6 xxx xxx xxxxx.,Xxxxxxx Ward 6 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 7,13558.891486,30121.671279,0.450137423,xxx,xxx,xxx,xxxx xxx xxxx Ward 7 xxx xxx xxxxx.,Xxxxxxx Ward 7 than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,Ward 8,14267.814237,29962.034443,0.4761964433,xxx,xxx,xxx,xxxx xxx xxxx Ward 8 xxx xxx xxxxx.,Xxxxxxx Ward 8 than in
People above poverty,People above poverty,2013–17,"Kalorama Heights, Adams Morgan, Lanier Heights",18531.939303,19856.736963,0.9332822073,above poverty,more,people,"more people in Kalorama Heights, Adams Morgan, and Lanier Heights would be above the poverty threshold.","A higher share of people are above the poverty threshold in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
People above poverty,People above poverty,2013–17,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",41802.560094,49475.615515,0.8449123808,above poverty,more,people,"more people in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would be above the poverty threshold.","A higher share of people are above the poverty threshold in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
People above poverty,People above poverty,2013–17,"Howard University, Le Droit Park, Cardozo/Shaw",10036.774528,11315.825358,0.8869679595,above poverty,more,people,"more people in Howard University, Le Droit Park, and Cardozo/Shaw would be above the poverty threshold.","A higher share of people are above the poverty threshold in Howard University, Le Droit Park, and Cardozo/Shaw than in"
People above poverty,People above poverty,2013–17,"Georgetown, Burleith/Hillandale",9419.0568564,10679.50452,0.8819750803,above poverty,more,people,more people in Georgetown and Burleith/Hillandale would be above the poverty threshold.,A higher share of people are above the poverty threshold in Georgetown and Burleith/Hillandale than in
People above poverty,People above poverty,2013–17,"West End, Foggy Bottom, GWU",7354.9939774,9780.1439035,0.7520333085,above poverty,more,people,"more people in West End, Foggy Bottom, and GWU would be above the poverty threshold.","A higher share of people are above the poverty threshold in West End, Foggy Bottom, and GWU than in"
People above poverty,People above poverty,2013–17,"Dupont Circle, Connecticut Avenue/K Street",17824.634135,19911.157863,0.8952083177,above poverty,more,people,more people in Dupont Circle and Connecticut Avenue/K Street would be above the poverty threshold.,A higher share of people are above the poverty threshold in Dupont Circle and Connecticut Avenue/K Street than in
People above poverty,People above poverty,2013–17,"Shaw, Logan Circle",18466.854699,20880.178138,0.8844203616,above poverty,more,people,more people in Shaw and Logan Circle would be above the poverty threshold.,A higher share of people are above the poverty threshold in Shaw and Logan Circle than in
People above poverty,People above poverty,2013–17,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",15595.598627,19235.321121,0.8107792185,above poverty,more,people,"more people in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would be above the poverty threshold.","A higher share of people are above the poverty threshold in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
People above poverty,People above poverty,2013–17,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",10054.727273,12511.727273,0.8036242362,above poverty,more,people,"more people in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would be above the poverty threshold.","A higher share of people are above the poverty threshold in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
People above poverty,People above poverty,2013–17,"Hawthorne, Barnaby Woods, Chevy Chase",14201.053986,14942.785311,0.9503619098,above poverty,more,people,"more people in Hawthorne, Barnaby Woods, and Chevy Chase would be above the poverty threshold.","A higher share of people are above the poverty threshold in Hawthorne, Barnaby Woods, and Chevy Chase than in"
People above poverty,People above poverty,2013–17,"Friendship Heights, American University Park, Tenleytown",11586.944035,12203.442137,0.949481622,above poverty,more,people,"more people in Friendship Heights, American University Park, and Tenleytown would be above the poverty threshold.","A higher share of people are above the poverty threshold in Friendship Heights, American University Park, and Tenleytown than in"
People above poverty,People above poverty,2013–17,"North Cleveland Park, Forest Hills, Van Ness",10322.028062,11007.408724,0.9377346041,above poverty,more,people,"more people in North Cleveland Park, Forest Hills, and Van Ness would be above the poverty threshold.","A higher share of people are above the poverty threshold in North Cleveland Park, Forest Hills, and Van Ness than in"
